GEO_ID,NAME,PCT020001,PCT020002,PCT020003,PCT020004,PCT020005,PCT020006,PCT020007,PCT020008,PCT020009,PCT020010,PCT020011,PCT020012,PCT020013,PCT020014,PCT020015,PCT020016,PCT020017,PCT020018,PCT020019,PCT020020,PCT020021,PCT020022,PCT020023,PCT020024,PCT020025,PCT020026,PCT020027,PCT020028,PCT020029,PCT020030,PCT020031,PCT020032
0500000US51173,"Smyth County, Virginia",774,606,199,0,0,199,0,0,0,0,0,0,0,301,106,106,0,0,0,0,168,0,0,0,0,168,0,0,0,0,166,2
0500000US51187,"Warren County, Virginia",725,365,126,0,0,0,126,0,0,0,0,0,0,239,0,0,0,0,0,0,360,312,0,0,0,48,18,6,0,0,17,7
0500000US51177,"Spotsylvania County, Virginia",524,413,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,111,0,0,0,0,111,0,55,56,0,0,0
0500000US51179,"Stafford County, Virginia",3593,1637,1418,0,0,0,1315,81,22,55,13,0,42,164,0,0,0,0,0,0,1956,0,1908,1908,0,48,0,48,0,0,0,0
0500000US51181,"Surry County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US51183,"Sussex County, Virginia",2593,2549,2443,0,0,2356,87,0,0,0,0,0,0,106,0,0,0,0,0,0,44,0,0,0,0,44,0,44,0,0,0,0
0500000US51185,"Tazewell County, Virginia",1645,1283,1023,0,0,1023,0,0,0,2,0,2,0,258,0,0,0,0,0,0,362,239,0,0,0,123,9,114,0,0,0,0
0500000US55069,"Lincoln County, Wisconsin",560,527,73,0,0,0,73,0,0,162,0,0,162,292,0,0,0,0,0,0,33,0,0,0,0,33,0,33,0,0,0,0
0500000US55063,"La Crosse County, Wisconsin",5195,1172,202,0,0,0,196,6,0,81,0,63,18,885,4,0,4,0,0,0,4023,3487,0,0,0,536,59,175,65,0,2,235
0500000US55065,"Lafayette County, Wisconsin",120,98,24,0,0,0,24,0,0,0,0,0,0,74,0,0,0,0,0,0,22,7,0,0,0,15,0,10,5,0,0,0
0500000US55081,"Monroe County, Wisconsin",859,572,123,0,0,0,123,0,0,6,6,0,0,392,51,51,0,0,0,0,287,0,122,122,0,165,3,69,72,0,15,6
0500000US55073,"Marathon County, Wisconsin",1655,1152,254,0,0,0,248,6,0,22,13,0,9,857,19,16,0,3,0,0,503,121,0,0,0,382,30,312,3,0,26,11
0500000US55075,"Marinette County, Wisconsin",1073,558,131,0,0,0,126,5,0,0,0,0,0,427,0,0,0,0,0,0,515,460,0,0,0,55,14,22,0,0,8,11
0500000US55077,"Marquette County, Wisconsin",153,85,39,0,0,0,39,0,0,0,0,0,0,46,0,0,0,0,0,0,68,0,0,0,0,68,0,64,0,0,4,0
0500000US55078,"Menominee County, Wisconsin",59,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,16,0,0,0,0,0
0500000US55079,"Milwaukee County, Wisconsin",24490,9997,4405,3,0,1485,2699,218,0,275,176,83,16,5216,101,68,0,33,0,0,14493,9814,0,0,0,4679,769,1648,614,10,99,1539
0500000US55093,"Pierce County, Wisconsin",2766,240,25,0,0,0,25,0,0,12,0,0,12,203,0,0,0,0,0,0,2526,2396,0,0,0,130,0,91,36,0,0,3
0500000US55083,"Oconto County, Wisconsin",281,251,57,0,0,0,57,0,0,0,0,0,0,194,0,0,0,0,0,0,30,0,0,0,0,30,0,16,14,0,0,0
0500000US55085,"Oneida County, Wisconsin",610,520,267,0,0,103,160,4,0,0,0,0,0,253,0,0,0,0,0,0,90,22,0,0,0,68,0,59,8,0,0,1
0500000US55087,"Outagamie County, Wisconsin",3039,1363,496,0,0,124,358,14,0,5,0,0,5,858,4,0,0,4,0,0,1676,1234,0,0,0,442,104,153,49,0,22,114
0500000US55089,"Ozaukee County, Wisconsin",1804,631,214,0,0,0,214,0,0,0,0,0,0,417,0,0,0,0,0,0,1173,1089,0,0,0,84,0,83,0,0,0,1
0500000US55091,"Pepin County, Wisconsin",136,122,29,0,0,0,29,0,0,0,0,0,0,93,0,0,0,0,0,0,14,0,0,0,0,14,0,14,0,0,0,0
0500000US55109,"St. Croix County, Wisconsin",850,680,233,0,0,118,102,13,0,3,3,0,0,444,0,0,0,0,0,0,170,0,0,0,0,170,29,77,36,0,22,6
0500000US55095,"Polk County, Wisconsin",461,412,71,0,0,0,71,0,0,33,0,33,0,308,0,0,0,0,0,0,49,0,0,0,0,49,19,17,0,0,12,1
0500000US55097,"Portage County, Wisconsin",3509,327,84,0,0,0,77,7,0,9,9,0,0,234,0,0,0,0,0,0,3182,3009,0,0,0,173,24,66,20,0,0,63
0500000US55099,"Price County, Wisconsin",204,191,26,0,0,0,26,0,0,0,0,0,0,165,0,0,0,0,0,0,13,0,0,0,0,13,0,9,0,0,4,0
0500000US55101,"Racine County, Wisconsin",4995,4173,3209,0,0,2535,666,8,0,61,5,3,53,903,0,0,0,0,0,0,822,0,0,0,0,822,115,376,73,0,24,234
0500000US55103,"Richland County, Wisconsin",336,117,22,0,0,0,22,0,0,0,0,0,0,95,0,0,0,0,0,0,219,100,0,0,0,119,10,97,12,0,0,0
0500000US55105,"Rock County, Wisconsin",2934,1400,501,0,0,0,420,81,0,27,4,0,23,872,0,0,0,0,0,0,1534,1137,0,0,0,397,119,110,33,0,3,132
0500000US55107,"Rusk County, Wisconsin",174,133,27,0,0,0,27,0,0,0,0,0,0,106,0,0,0,0,0,0,41,0,0,0,0,41,0,12,0,0,0,29
0500000US55131,"Washington County, Wisconsin",1143,910,199,0,0,0,198,1,0,15,0,0,15,696,0,0,0,0,0,0,233,0,0,0,0,233,11,183,12,0,2,25
0500000US55111,"Sauk County, Wisconsin",858,675,237,0,0,0,237,0,0,7,7,0,0,431,0,0,0,0,0,0,183,53,0,0,0,130,1,31,0,0,11,87
0500000US55113,"Sawyer County, Wisconsin",325,301,181,0,0,98,64,19,0,0,0,0,0,120,0,0,0,0,0,0,24,0,0,0,0,24,0,22,0,0,0,2
0500000US55115,"Shawano County, Wisconsin",794,670,210,0,0,0,196,14,0,54,0,54,0,391,15,0,15,0,0,0,124,0,0,0,0,124,0,77,2,0,44,1
0500000US55117,"Sheboygan County, Wisconsin",3023,2272,1448,0,0,1167,281,0,0,31,7,14,10,781,12,0,0,12,0,0,751,516,0,0,0,235,28,171,5,0,21,10
0500000US55119,"Taylor County, Wisconsin",231,229,51,0,0,0,51,0,0,0,0,0,0,178,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2
0500000US55121,"Trempealeau County, Wisconsin",512,467,26,0,0,0,26,0,0,0,0,0,0,305,136,136,0,0,0,0,45,0,0,0,0,45,5,36,4,0,0,0
0500000US55125,"Vilas County, Wisconsin",190,164,98,0,0,0,98,0,0,8,8,0,0,58,0,0,0,0,0,0,26,0,0,0,0,26,0,23,0,0,0,3
0500000US55123,"Vernon County, Wisconsin",390,287,69,0,0,0,69,0,0,0,0,0,0,218,0,0,0,0,0,0,103,0,0,0,0,103,0,103,0,0,0,0
0500000US55127,"Walworth County, Wisconsin",2709,828,332,0,0,0,332,0,0,14,14,0,0,482,0,0,0,0,0,0,1881,1589,0,0,0,292,34,183,6,0,61,8
0500000US55129,"Washburn County, Wisconsin",205,162,15,0,0,0,15,0,0,0,0,0,0,147,0,0,0,0,0,0,43,0,0,0,0,43,0,21,11,0,11,0
0500000US56001,"Albany County, Wyoming",2248,150,0,0,0,0,0,0,0,80,3,72,5,70,0,0,0,0,0,0,2098,1986,0,0,0,112,0,5,0,0,20,87
0500000US55133,"Waukesha County, Wisconsin",5650,2650,658,0,0,0,435,223,0,466,14,216,236,1500,26,0,11,15,0,0,3000,1795,0,0,0,1205,87,287,103,0,326,402
0500000US55135,"Waupaca County, Wisconsin",1635,1468,173,0,0,0,173,0,0,66,0,66,0,1229,0,0,0,0,0,0,167,0,0,0,0,167,26,65,3,0,31,42
0500000US55137,"Waushara County, Wisconsin",1261,1233,1138,0,0,1026,112,0,0,0,0,0,0,95,0,0,0,0,0,0,28,0,0,0,0,28,0,26,0,0,2,0
0500000US55139,"Winnebago County, Wisconsin",8239,4516,2888,0,0,2284,331,273,0,22,8,0,14,1412,194,0,194,0,0,0,3723,3195,0,0,0,528,86,192,23,0,63,164
0500000US55141,"Wood County, Wisconsin",891,604,99,0,0,0,99,0,0,2,2,0,0,478,25,9,16,0,0,0,287,0,0,0,0,287,17,193,15,0,48,14
